"['baseline', 'ps3']","['baseline', 'ps6']","['baseline', 'ps7']","['baseline', 'ps4']","['baseline', 'ps5']","['baseline', 'ps8']","['baseline', 'ps1']","['baseline', 'ps2']","['THADS5m3s30alph', 'ps3']","['THADS5m3s30alph', 'ps6']","['THADS5m3s30alph', 'ps7']","['THADS5m3s30alph', 'ps4']","['THADS5m3s30alph', 'ps5']","['THADS5m3s30alph', 'ps8']","['THADS5m3s30alph', 'ps1']","['THADS5m3s30alph', 'ps2']","['THADS5m1s40alph', 'ps3']","['THADS5m1s40alph', 'ps6']","['THADS5m1s40alph', 'ps7']","['THADS5m1s40alph', 'ps4']","['THADS5m1s40alph', 'ps5']","['THADS5m1s40alph', 'ps8']","['THADS5m1s40alph', 'ps1']","['THADS5m1s40alph', 'ps2']","['THADS5m1s30alph', 'ps3']","['THADS5m1s30alph', 'ps6']","['THADS5m1s30alph', 'ps7']","['THADS5m1s30alph', 'ps4']","['THADS5m1s30alph', 'ps5']","['THADS5m1s30alph', 'ps8']","['THADS5m1s30alph', 'ps1']","['THADS5m1s30alph', 'ps2']","['THADS5m3s40alph', 'ps3']","['THADS5m3s40alph', 'ps6']","['THADS5m3s40alph', 'ps7']","['THADS5m3s40alph', 'ps4']","['THADS5m3s40alph', 'ps5']","['THADS5m3s40alph', 'ps8']","['THADS5m3s40alph', 'ps1']","['THADS5m3s40alph', 'ps2']","['THADS5m5s30alph', 'ps3']","['THADS5m5s30alph', 'ps6']","['THADS5m5s30alph', 'ps7']","['THADS5m5s30alph', 'ps4']","['THADS5m5s30alph', 'ps5']","['THADS5m5s30alph', 'ps8']","['THADS5m5s30alph', 'ps1']","['THADS5m5s30alph', 'ps2']","['THADS5m5s40alph', 'ps3']","['THADS5m5s40alph', 'ps6']","['THADS5m5s40alph', 'ps7']","['THADS5m5s40alph', 'ps4']","['THADS5m5s40alph', 'ps5']","['THADS5m5s40alph', 'ps8']","['THADS5m5s40alph', 'ps1']","['THADS5m5s40alph', 'ps2']"
57.0,58.0,49.8,37.2,52.4,54.4,59.4,58.4,55.4,49.2,41.2,47.2,53.4,57.8,60.0,58.0,32.8,29.2,32.8,27.8,30.8,33.6,30.4,32.2,26.6,26.4,26.6,27.2,26.2,26.6,26.0,28.4,60.4,65.0,43.4,53.6,40.0,59.4,65.8,64.6,61.0,64.6,58.8,59.0,55.2,58.2,62.6,62.6,49.2,52.2,45.4,46.8,45.2,47.6,51.0,52.0
59.2,58.0,51.6,47.4,52.2,54.8,59.2,58.6,57.6,49.6,53.8,34.0,55.8,58.6,60.0,59.2,30.4,28.8,28.8,27.6,31.8,32.2,29.8,32.2,26.8,26.0,26.0,25.2,26.8,27.2,26.2,24.8,61.4,62.8,52.2,58.6,59.8,60.4,64.8,63.8,62.6,66.2,59.4,48.0,58.4,59.2,63.6,62.8,48.2,51.8,46.6,45.8,47.0,47.8,56.6,52.2
58.0,48.6,52.4,22.4,52.2,52.0,59.6,56.6,56.8,56.0,49.4,38.0,48.2,59.8,58.4,58.4,32.0,30.6,30.0,27.6,30.2,32.8,30.8,30.2,27.2,26.4,27.2,24.8,27.6,27.6,26.8,26.4,62.8,66.4,56.4,34.2,61.4,60.4,65.0,65.6,61.6,62.8,53.4,56.2,60.4,60.0,62.6,63.2,49.6,52.0,47.8,47.4,45.8,53.6,52.4,50.4
56.2,54.6,52.4,52.2,43.0,51.8,59.6,57.4,55.6,48.8,48.4,49.6,42.2,58.2,58.2,59.2,32.6,29.8,31.8,27.4,30.6,31.8,29.8,31.6,26.0,27.6,26.8,25.2,26.4,27.8,26.2,26.8,60.4,66.0,62.0,38.4,58.8,60.0,63.6,64.6,61.0,63.0,50.4,53.8,58.2,61.2,63.8,60.8,47.8,50.0,47.6,45.6,44.6,47.4,51.6,50.0
58.6,59.0,50.4,51.6,52.4,52.0,62.6,58.6,56.6,50.6,51.4,48.8,51.6,57.8,59.0,59.2,30.6,29.6,30.8,27.4,29.2,34.8,31.0,30.6,28.6,28.2,28.2,25.2,26.8,27.6,25.8,28.0,60.4,67.4,57.8,58.4,58.6,59.4,64.0,64.2,62.2,62.4,56.6,56.8,57.4,59.2,63.6,62.0,48.2,51.8,46.6,44.0,46.6,48.4,53.4,51.0
57.2,59.6,42.0,46.4,51.0,53.6,60.4,62.6,58.2,56.6,45.6,47.0,56.4,57.8,60.6,56.8,32.0,32.2,29.8,26.8,31.0,34.8,31.2,31.0,27.8,26.6,26.6,24.2,26.6,26.4,26.0,27.0,61.6,65.2,46.6,44.4,63.2,61.0,61.8,66.4,61.2,65.4,58.0,50.6,59.0,57.8,62.4,65.4,48.8,54.0,46.6,25.6,48.2,50.8,52.6,49.6
55.6,59.4,50.4,28.4,53.6,53.8,64.4,60.2,55.2,47.8,53.4,50.6,53.4,59.2,58.8,58.4,34.6,29.0,30.8,28.6,31.8,33.2,30.2,30.8,28.0,27.0,26.6,25.0,26.2,28.0,26.2,27.6,60.6,64.2,53.6,32.0,61.6,60.8,64.8,62.8,62.2,63.8,59.8,57.0,58.0,61.2,65.0,65.8,47.4,54.8,45.0,44.0,48.0,50.6,55.0,50.8
57.2,60.8,49.2,43.4,48.6,51.8,61.6,57.0,57.4,51.0,51.6,42.4,53.0,58.2,57.8,58.8,32.0,29.2,29.4,26.4,31.2,33.6,32.8,31.0,27.0,26.0,27.2,26.4,26.6,27.2,27.8,26.8,60.2,66.2,59.2,39.2,59.8,61.2,64.6,65.0,59.6,62.2,58.0,41.2,56.0,60.6,63.2,63.2,49.2,53.6,46.2,44.6,46.2,47.4,55.8,50.6
56.0,60.2,34.4,50.0,51.8,55.4,60.2,57.6,60.4,50.8,49.8,45.4,53.2,58.8,57.2,59.8,33.0,29.6,29.6,27.0,30.2,31.8,29.8,30.6,26.2,25.6,28.2,24.8,29.0,26.4,26.6,27.2,61.4,67.4,57.6,55.2,58.4,60.4,64.0,65.2,60.0,60.2,57.0,49.8,57.2,59.8,64.0,62.0,49.2,51.6,47.6,42.0,44.4,49.6,54.2,51.0
57.2,60.6,42.0,52.8,50.2,53.4,62.2,57.6,60.8,52.8,45.0,47.8,55.0,56.4,57.8,59.4,30.2,30.2,31.4,28.4,30.0,34.8,31.8,30.8,28.2,26.8,27.4,25.2,26.4,26.8,26.4,26.0,62.6,65.2,63.4,58.6,45.8,61.4,65.4,66.8,62.4,62.4,51.6,58.2,55.8,61.8,62.4,65.4,49.4,51.4,47.8,45.0,45.6,48.0,55.8,51.4
56.4,60.2,34.0,28.6,51.6,53.6,59.8,55.0,57.4,53.4,48.8,49.8,52.8,57.0,59.2,57.8,32.0,30.2,29.6,27.0,31.2,33.4,31.4,31.8,28.2,27.2,28.8,25.2,27.2,26.4,26.0,25.4,61.6,62.8,57.2,58.4,58.8,60.0,63.6,63.8,63.6,62.0,54.0,48.6,55.2,59.6,64.4,63.8,50.4,50.6,44.6,39.0,46.6,47.6,53.6,57.6
56.8,55.4,35.6,29.8,51.0,51.4,61.8,58.8,60.2,49.6,52.2,48.8,54.4,57.4,58.2,58.4,31.4,30.4,30.2,26.8,30.4,34.4,30.8,30.2,26.8,27.6,26.8,26.2,27.2,27.0,26.8,24.6,61.4,66.2,50.6,31.0,58.4,59.6,63.4,64.8,62.4,64.8,57.4,55.6,59.6,59.2,65.4,62.0,48.6,50.0,45.8,43.0,47.0,45.2,50.0,51.4
58.6,63.4,50.2,34.4,47.8,56.4,62.0,57.8,55.6,51.8,54.8,47.2,52.2,57.2,58.2,57.8,32.6,28.2,33.2,26.8,30.4,32.6,30.4,30.8,27.8,27.2,27.8,26.0,28.6,27.4,26.0,26.2,60.0,66.0,47.8,52.0,58.8,59.2,62.0,66.4,61.0,65.6,57.8,54.0,55.2,57.0,64.4,63.8,48.4,51.0,44.0,41.2,46.2,47.0,51.8,52.2
58.2,59.8,50.4,48.6,52.4,53.6,57.8,56.6,57.4,52.0,54.4,49.2,53.6,62.4,56.8,58.2,31.8,29.8,30.0,27.4,29.2,32.4,30.6,31.0,27.0,28.6,27.0,25.6,27.0,27.4,26.4,25.0,60.8,49.8,61.6,56.4,58.0,60.6,65.0,67.0,61.8,64.4,61.0,60.2,57.0,59.0,62.2,64.0,48.4,50.8,44.0,46.6,48.8,48.4,53.6,50.8
58.2,59.2,49.8,47.4,54.8,53.0,58.8,56.8,58.4,50.4,55.4,40.0,54.4,56.8,59.8,60.6,31.8,30.0,29.4,27.0,29.6,33.4,30.0,31.4,27.0,27.6,26.2,26.4,27.8,28.2,26.6,25.8,62.4,64.2,61.4,58.6,57.8,60.4,64.4,64.6,60.0,64.2,58.6,57.0,58.2,59.2,64.4,62.8,52.4,50.6,47.0,47.2,47.8,50.4,52.4,51.4
60.0,58.2,40.2,48.0,54.0,54.2,60.6,57.0,56.0,53.6,51.8,36.8,53.2,59.4,56.2,58.8,31.0,29.2,30.2,27.2,31.0,32.2,30.2,30.0,26.4,26.6,26.6,25.0,26.4,26.8,26.0,26.2,63.0,63.6,54.4,54.2,57.6,64.4,63.6,64.2,60.8,60.2,56.4,57.0,55.2,59.4,61.4,65.2,50.4,52.2,48.2,43.0,47.6,49.0,55.0,52.8
57.4,56.6,41.2,54.6,51.0,51.8,58.6,57.2,55.4,50.8,53.6,43.4,52.4,58.4,58.0,58.2,31.2,28.8,31.2,25.6,30.2,33.6,30.2,30.6,27.0,26.6,27.4,25.2,27.8,27.4,25.6,27.0,59.2,64.8,57.2,57.2,55.8,59.4,63.4,65.0,59.8,63.0,57.4,57.2,57.0,62.4,63.6,62.6,49.8,51.2,44.0,47.6,47.8,47.4,53.6,50.4
57.8,57.2,38.2,28.2,52.2,51.6,58.6,57.4,56.8,52.8,46.4,48.6,56.0,60.0,56.8,59.8,31.2,31.6,30.8,27.2,30.6,32.2,31.0,31.8,27.0,26.4,26.4,25.2,26.2,27.0,28.2,27.0,61.0,68.2,59.6,44.4,57.0,61.6,64.6,66.4,62.0,61.6,55.8,58.0,58.2,57.0,64.0,63.4,47.4,55.0,45.8,46.0,48.0,47.0,54.6,48.8
55.2,62.2,52.0,46.8,50.4,51.8,58.8,59.6,58.6,50.0,51.4,36.8,51.6,57.8,56.4,58.8,31.8,31.0,31.6,27.8,29.8,31.2,31.6,32.2,26.4,27.0,26.2,25.0,27.8,26.8,28.8,26.4,62.8,66.8,59.0,33.2,59.4,61.2,63.8,64.8,61.6,63.6,62.0,53.8,59.8,58.8,64.2,64.2,51.8,52.0,48.2,45.8,45.8,48.2,51.4,50.8
