"['THADS5m1s30alph', 'ps1']","['THADS5m3s30alph', 'ps1']","['THADS5m5s30alph', 'ps1']","['THADS5m1s30alph', 'ps2']","['THADS5m3s30alph', 'ps2']","['THADS5m5s30alph', 'ps2']","['THADS5m1s30alph', 'ps3']","['THADS5m3s30alph', 'ps3']","['THADS5m5s30alph', 'ps3']","['THADS5m1s30alph', 'ps4']","['THADS5m3s30alph', 'ps4']","['THADS5m5s30alph', 'ps4']","['THADS5m1s30alph', 'ps5']","['THADS5m3s30alph', 'ps5']","['THADS5m5s30alph', 'ps5']","['THADS5m1s30alph', 'ps6']","['THADS5m3s30alph', 'ps6']","['THADS5m5s30alph', 'ps6']","['THADS5m1s30alph', 'ps7']","['THADS5m3s30alph', 'ps7']","['THADS5m5s30alph', 'ps7']","['THADS5m1s30alph', 'ps8']","['THADS5m3s30alph', 'ps8']","['THADS5m5s30alph', 'ps8']"
ps1,ps1,ps1,ps2,ps2,ps2,ps3,ps3,ps3,ps4,ps4,ps4,ps5,ps5,ps5,ps6,ps6,ps6,ps7,ps7,ps7,ps8,ps8,ps8
26,60,62.6,28.4,58,62.6,26.6,55.4,61,27.2,47.2,59,26.2,53.4,55.2,26.4,49.2,64.6,26.6,41.2,58.8,26.6,57.8,58.2
26.2,60,63.6,24.8,59.2,62.8,26.8,57.6,62.6,25.2,34,48,26.8,55.8,58.4,26,49.6,66.2,26,53.8,59.4,27.2,58.6,59.2
26.8,58.4,62.6,26.4,58.4,63.2,27.2,56.8,61.6,24.8,38,56.2,27.6,48.2,60.4,26.4,56,62.8,27.2,49.4,53.4,27.6,59.8,60
26.2,58.2,63.8,26.8,59.2,60.8,26,55.6,61,25.2,49.6,53.8,26.4,42.2,58.2,27.6,48.8,63,26.8,48.4,50.4,27.8,58.2,61.2
25.8,59,63.6,28,59.2,62,28.6,56.6,62.2,25.2,48.8,56.8,26.8,51.6,57.4,28.2,50.6,62.4,28.2,51.4,56.6,27.6,57.8,59.2
26,60.6,62.4,27,56.8,65.4,27.8,58.2,61.2,24.2,47,50.6,26.6,56.4,59,26.6,56.6,65.4,26.6,45.6,58,26.4,57.8,57.8
26.2,58.8,65,27.6,58.4,65.8,28,55.2,62.2,25,50.6,57,26.2,53.4,58,27,47.8,63.8,26.6,53.4,59.8,28,59.2,61.2
27.8,57.8,63.2,26.8,58.8,63.2,27,57.4,59.6,26.4,42.4,41.2,26.6,53,56,26,51,62.2,27.2,51.6,58,27.2,58.2,60.6
26.6,57.2,64,27.2,59.8,62,26.2,60.4,60,24.8,45.4,49.8,29,53.2,57.2,25.6,50.8,60.2,28.2,49.8,57,26.4,58.8,59.8
26.4,57.8,62.4,26,59.4,65.4,28.2,60.8,62.4,25.2,47.8,58.2,26.4,55,55.8,26.8,52.8,62.4,27.4,45,51.6,26.8,56.4,61.8
26,59.2,64.4,25.4,57.8,63.8,28.2,57.4,63.6,25.2,49.8,48.6,27.2,52.8,55.2,27.2,53.4,62,28.8,48.8,54,26.4,57,59.6
26.8,58.2,65.4,24.6,58.4,62,26.8,60.2,62.4,26.2,48.8,55.6,27.2,54.4,59.6,27.6,49.6,64.8,26.8,52.2,57.4,27,57.4,59.2
26,58.2,64.4,26.2,57.8,63.8,27.8,55.6,61,26,47.2,54,28.6,52.2,55.2,27.2,51.8,65.6,27.8,54.8,57.8,27.4,57.2,57
26.4,56.8,62.2,25,58.2,64,27,57.4,61.8,25.6,49.2,60.2,27,53.6,57,28.6,52,64.4,27,54.4,61,27.4,62.4,59
26.6,59.8,64.4,25.8,60.6,62.8,27,58.4,60,26.4,40,57,27.8,54.4,58.2,27.6,50.4,64.2,26.2,55.4,58.6,28.2,56.8,59.2
26,56.2,61.4,26.2,58.8,65.2,26.4,56,60.8,25,36.8,57,26.4,53.2,55.2,26.6,53.6,60.2,26.6,51.8,56.4,26.8,59.4,59.4
25.6,58,63.6,27,58.2,62.6,27,55.4,59.8,25.2,43.4,57.2,27.8,52.4,57,26.6,50.8,63,27.4,53.6,57.4,27.4,58.4,62.4
28.2,56.8,64,27,59.8,63.4,27,56.8,62,25.2,48.6,58,26.2,56,58.2,26.4,52.8,61.6,26.4,46.4,55.8,27,60,57
28.8,56.4,64.2,26.4,58.8,64.2,26.4,58.6,61.6,25,36.8,53.8,27.8,51.6,59.8,27,50,63.6,26.2,51.4,62,26.8,57.8,58.8
25.8,58.2,63.8,26.2,56.6,64,27,58.6,63.8,26,51.6,39.8,29.6,51.6,57.8,27.2,52.4,64,26.6,42,57.6,28.6,57.6,57.8
25.8,57.2,64,24.8,58.4,63.2,28.2,58.6,60.2,26,38.6,57.8,26.2,51.2,58.4,28,53.8,63.4,28.6,54.8,54.6,28,57.6,58.4
26.6,55.4,62.6,26.6,60.2,62,27.6,56.2,60.8,25.2,40.4,56.6,28,53.2,56.4,26,51.4,60,27.2,50.4,54.2,28,58,58.6
26,57.8,63.6,27.6,58,64.4,27.2,59.6,60.8,25,44.4,54.4,28,54,56.4,25.8,50.2,64.4,28,47.6,57.6,26.4,59.4,62.6
25.4,58,63.6,27,58.6,64.8,26.6,57.8,60.8,24.6,46.6,56.2,25.6,51.4,55.2,27,51.6,61.6,26.8,53.4,57,27.2,58,59.4
25.6,59.2,62.6,26.6,61.2,63.6,27.4,58.8,64.6,26.6,48.2,57.4,27,54.2,58.6,26.2,49,61.8,27,50.8,55.2,26.8,60.6,59.2
28.4,58.2,63.6,26,58.4,64.4,27,58.2,64,24.6,49.8,56.4,27.8,51.8,60.8,26.8,52.2,62.8,26.4,53.6,58,27.2,57.2,58
27.2,56.6,64,26.2,58.2,63.8,27.2,56,61.2,24.6,46.4,51.8,26.8,53,57.2,28.4,52.2,63.2,27.6,50.2,57,28,58.4,59.2
25.4,58,63.6,28.6,58,62.4,27.6,58.8,60.2,24.6,48.2,56.8,27.2,50.4,58.4,26.8,53.4,64.8,29.2,49.6,57.4,27.2,57.8,59.6
26.8,58.6,65.4,25.2,60,63,27.2,59.6,60,26,49,52.4,27.4,54.2,56.4,26.6,54.4,61.6,27.2,44.4,57.2,27.6,58,61
27.6,56.6,61.8,27.2,57.4,62.4,26.6,58.8,60.4,25.2,44.2,58.2,27.4,48.6,57.4,26.2,47.4,64.4,27.6,46.8,54,26,61.6,60.8
