Graph Evolution Tool.
Initial Graph: Power Law Cluster Graph
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.0108426 0.00719539 0.00304208 0.0616601 0.435922 0.000951899 0.0129165 0.0223255 0.445143 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 0
Run  RI  Mean      95% CI      SD        Best    
0    0   8.612     0.188518    0.957004  10.6    
0    1   8.67      0.183558    0.931826  10.6    
0    2   8.694     0.177984    0.903529  10.6    
0    3   8.75      0.1764      0.895489  10.6    
0    4   8.756     0.175271    0.889755  10.6    
0    5   8.792     0.172983    0.878143  10.6    
0    6   8.822     0.173697    0.881769  10.6    
0    7   8.858     0.177533    0.901241  11      
0    8   8.89      0.174898    0.887863  11      
0    9   8.894     0.178245    0.904856  11      
0    10  8.934     0.176372    0.895346  11      
0    11  8.948     0.174919    0.887973  11      
0    12  8.96      0.174687    0.886792  11      
0    13  8.954     0.17494     0.888079  11      
0    14  8.964     0.17596     0.893255  11      
0    15  8.964     0.176664    0.89683   11      
0    16  8.962     0.180258    0.915072  11      
0    17  8.964     0.18109     0.919295  11      
0    18  9.062     0.147169    0.747098  11      
0    19  9.09      0.144903    0.735595  11      
0    20  9.094     0.146509    0.74375   11      
0    21  9.092     0.148505    0.753881  11      
0    22  9.094     0.149861    0.760765  11      
0    23  9.13      0.15037     0.763348  11      
0    24  9.168     0.147382    0.748182  11      
0    25  9.16      0.150228    0.762627  11      
0    26  9.178     0.151554    0.769361  11      
0    27  9.21      0.148918    0.755976  11      
0    28  9.228     0.151054    0.766822  11      
0    29  9.248     0.149204    0.757427  11      
0    30  9.264     0.150422    0.763612  11      
0    31  9.248     0.15492     0.786445  11      
0    32  9.238     0.156175    0.792815  11      
0    33  9.256     0.153304    0.778244  11      
0    34  9.232     0.160103    0.812758  11      
0    35  9.286     0.155334    0.788545  11      
0    36  9.3       0.153144    0.777432  11      
0    37  9.306     0.158421    0.804216  11      
0    38  9.294     0.164099    0.833045  11      
0    39  9.34      0.16363     0.830662  11      
0    40  9.364     0.168756    0.856682  11      
0    41  9.354     0.170082    0.863414  11      
0    42  9.35      0.17122     0.869195  11      
0    43  9.386     0.170756    0.866836  11      
0    44  9.402     0.16895     0.857669  11      
0    45  9.39      0.170312    0.864581  11      
0    46  9.368     0.174662    0.886666  11      
0    47  9.366     0.174336    0.885011  11      
0    48  9.384     0.179047    0.908925  11      
0    49  9.39      0.175959    0.893252  11      
0    50  9.366     0.178123    0.904237  11      
0    51  9.348     0.185011    0.9392    11      
0    52  9.37      0.184822    0.938243  11      
0    53  9.418     0.175935    0.893127  11      
0    54  9.454     0.172168    0.874005  11      
0    55  9.452     0.168133    0.85352   11      
0    56  9.472     0.163157    0.828261  11      
0    57  9.544     0.14826     0.752638  11      
0    58  9.518     0.154817    0.785924  11      
0    59  9.53      0.155545    0.78962   11      
0    60  9.58      0.156056    0.792212  11.2    
0    61  9.592     0.156098    0.792424  11.2    
0    62  9.584     0.160196    0.813231  11.2    
0    63  9.572     0.164719    0.836191  11.2    
0    64  9.598     0.160372    0.814123  11.2    
0    65  9.614     0.158205    0.803121  11.2    
0    66  9.606     0.161429    0.81949   11.2    
0    67  9.602     0.165046    0.837852  11.2    
0    68  9.602     0.165422    0.839759  11.2    
0    69  9.682     0.164632    0.835749  11.2    
0    70  9.714     0.159961    0.812037  11.2    
0    71  9.748     0.15214     0.772332  11.2    
0    72  9.772     0.145079    0.736489  11.2    
0    73  9.78      0.145237    0.737292  11.2    
0    74  9.756     0.150597    0.764502  11.2    
0    75  9.746     0.152876    0.77607   11.2    
0    76  9.748     0.152038    0.771813  11.2    
0    77  9.762     0.14999     0.761417  11.2    
0    78  9.762     0.149471    0.758786  11.2    
0    79  9.734     0.153908    0.781309  11.2    
0    80  9.762     0.153063    0.777017  11.2    
0    81  9.768     0.150921    0.766144  11.2    
0    82  9.782     0.150341    0.763201  11.2    
0    83  9.794     0.149446    0.758659  11.2    
0    84  9.786     0.147017    0.746327  11.2    
0    85  9.792     0.146559    0.744     11.2    
0    86  9.78      0.149659    0.759737  11.2    
0    87  9.8       0.146461    0.743505  11.2    
0    88  9.818     0.140412    0.712795  11.2    
0    89  9.818     0.142823    0.725035  11.2    
0    90  9.826     0.139587    0.708607  11.2    
0    91  9.84      0.14303     0.726085  11.2    
0    92  9.868     0.138534    0.703261  11.2    
0    93  9.856     0.14052     0.713347  11.2    
0    94  9.866     0.13952     0.708268  11.2    
0    95  9.866     0.142165    0.721695  11.2    
0    96  9.856     0.14455     0.733801  11.2    
0    97  9.87      0.148291    0.752795  11.2    
0    98  9.86      0.15675     0.795739  11.2    
0    99  9.854     0.159144    0.807889  11.2    
0    100 9.868     0.158103    0.802606  11.2    
0    101 9.896     0.160564    0.815098  11.2    
0    102 9.908     0.159491    0.809652  11.2    
0    103 9.906     0.157733    0.800727  11.2    
0    104 9.896     0.163058    0.827758  11.2    
0    105 9.92      0.160614    0.815353  11.2    
0    106 9.96      0.15945     0.809444  11.2    
0    107 9.978     0.161472    0.819705  11.2    
0    108 10.004    0.160998    0.817303  11.2    
0    109 9.986     0.164836    0.836782  11.2    
0    110 9.958     0.171304    0.869618  11.2    
0    111 9.994     0.163151    0.828229  11.2    
0    112 10.038    0.148429    0.753496  11.2    
0    113 10.012    0.15216     0.772435  11.2    
0    114 10.026    0.155174    0.787733  11.2    
0    115 10.064    0.147505    0.748802  11.2    
0    116 10.016    0.165064    0.83794   11.2    
0    117 10.012    0.166388    0.844663  11.2    
0    118 10.044    0.161729    0.821014  11.2    
0    119 10.052    0.161637    0.820546  11.2    
0    120 10.056    0.160912    0.816862  11.2    
0    121 10.032    0.16403     0.832692  11.2    
0    122 10.036    0.165035    0.837797  11.2    
0    123 10.088    0.159092    0.807624  11.2    
0    124 10.124    0.146861    0.745536  11.2    
0    125 10.126    0.144719    0.734659  11.2    
Done run 0 of 0
